_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
0,"[0.5842756628990173, -0.1284683793783188, 0.028339795768260956]","[-0.5066657066345215, -0.40087568759918213, -0.30320531129837036, 0.5154100656509399]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.612672746181488, -0.02021883614361286, 0.1819399744272232, 0.07999709993600845, 0.5842756628990173, -0.1284683793783188, 0.028339795768260956, 0.0834389477968216, -0.062212031334638596, 0.07638156414031982]]","[0.17046460509300232, 0.02303852140903473, 0.3227945566177368, 0.1159282773733139, 0.26311761140823364, 0.1455909162759781]","[1, 1]",22.404065256,-0.1493079662322998,0,0,1745573288.4512513,0
1,"[0.5842658877372742, -0.12853768467903137, 0.02835906110703945]","[0.05099129676818848, -0.9573251605033875, -0.9384368658065796, 0.6011654138565063]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6148979067802429, -0.06780558079481125, 0.13467170298099518, 0.07999776303768158, 0.5842658877372742, -0.12853768467903137, 0.02835906110703945, 0.08434496819972992, -0.06191793456673622, 0.07581514865159988]]","[0.2150888741016388, 0.30285370349884033, -0.013554982841014862, -0.11479850858449936, 0.1906813532114029, -0.1454913169145584]","[1, 1]",25.3689625,-0.149377703666687,0,1,1745573291.6549966,1
2,"[0.5842766761779785, -0.12819530069828033, 0.02898334339261055]","[-0.2998839020729065, -0.9318906664848328, -0.9108142852783203, 0.8083579540252686]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5999008417129517, -0.11413419991731644, 0.089154914021492, 0.07999972999095917, 0.5842766761779785, -0.12819530069828033, 0.02898334339261055, 0.08354818820953369, -0.06078648939728737, 0.07526350766420364]]","[0.2328566014766693, 0.1823716014623642, 0.0015743076801300049, -0.09374706447124481, 0.15974047780036926, -0.0920315757393837]","[1, 1]",28.704806476999998,-0.14903055131435394,0,2,1745573294.6198792,2
3,"[0.5841235518455505, -0.1285291165113449, 0.028112394735217094]","[0.42945337295532227, -0.42739808559417725, -0.9686678051948547, 0.400790810585022]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6212143301963806, -0.13511040806770325, 0.04062925651669502, 0.0800003856420517, 0.5841235518455505, -0.1285291165113449, 0.028112394735217094, 0.08388657867908478, -0.06331686675548553, 0.07606038451194763]]","[0.3666948676109314, 0.1473545879125595, 0.023583069443702698, -0.19244806468486786, 0.046292465180158615, -0.28860634565353394]","[1, 1]",31.952846791,-0.1493871659040451,0,3,1745573297.9553673,3
4,"[0.584269642829895, -0.12830409407615662, 0.028215328231453896]","[-0.2189931869506836, 0.5480862855911255, 0.28829073905944824, -0.44233232736587524]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6097245216369629, -0.10772395133972168, 0.054105471819639206, 0.064000703394413, 0.584269642829895, -0.12830409407615662, 0.028215328231453896, 0.0833287313580513, -0.06216263771057129, 0.07568024843931198]]","[0.02425023913383484, 0.04646526277065277, 0.23282429575920105, 0.19994746148586273, -0.4357061982154846, -0.23913325369358063]","[1, 1]",38.956737361,-0.1491466909646988,0,4,1745573301.20375,4
5,"[0.5759931802749634, -0.10823161154985428, 0.03534689545631409]","[-0.2189931869506836, 0.5480862855911255, 0.28829073905944824, -0.44233232736587524]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5994645953178406, 0.019751066341996193, 0.058994270861148834, 0.07998265326023102, 0.5759931802749634, -0.10823161154985428, 0.03534689545631409, 0.0896918773651123, -0.38862350583076477, -0.0030513948295265436]]","[0.03896528482437134, 0.1636585146188736, 0.36379820108413696, 0.19218479096889496, -0.4139591157436371, -0.1231420710682869]","[1, 1]",51.903581045,-0.1305689960718155,0,5,1745573308.207722,5
6,"[0.5973517298698425, 0.01776622049510479, 0.02966383658349514]","[-0.4299775958061218, 0.45159220695495605, -0.7767806649208069, 0.7903742790222168]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6165130734443665, 0.022638438269495964, 0.15841394662857056, 0.07999709993600845, 0.5973517298698425, 0.01776622049510479, 0.02966383658349514, 0.08101516962051392, -0.041099365800619125, -0.1262204498052597]]","[0.22812649607658386, 0.019738689064979553, -0.05876937508583069, 0.13937251269817352, 0.00046800076961517334, -0.011495895683765411]","[1, 1]",54.900414679,-0.0034808204509317875,1,6,1745573321.1544998,0
7,"[0.5979229211807251, 0.019887076690793037, 0.030661145225167274]","[0.10611152648925781, -0.21713519096374512, -0.9386487007141113, 0.6162019968032837]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6214950680732727, 0.011978949420154095, 0.1112251877784729, 0.07999841868877411, 0.5979229211807251, 0.019887076690793037, 0.030661145225167274, 0.08487649261951447, -0.0395200178027153, -0.12936100363731384]]","[0.0683736801147461, 0.14088867604732513, -0.03244037181138992, -0.04014571011066437, 0.13691727817058563, -0.016119293868541718]","[1, 1]",57.980331757,-0.0021826867014169693,1,7,1745573324.1513162,1
8,"[0.596596360206604, 0.01695198193192482, 0.02876753732562065]","[-0.09470242261886597, -0.0970107913017273, -0.969111442565918, 0.44105565547943115]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6167316436767578, 0.007382705807685852, 0.0628310889005661, 0.07999972999095917, 0.596596360206604, 0.01695198193192482, 0.02876753732562065, 0.07986867427825928, -0.042222730815410614, -0.1249723732471466]]","[0.010609779506921768, 0.039632707834243774, -0.1185164824128151, -0.040555909276008606, 0.02699749916791916, 0.0017664320766925812]","[1, 1]",60.948021854,-0.004732245113700628,1,8,1745573327.2312284,2
9,"[0.5649856328964233, -0.14311262965202332, 0.028059184551239014]","[0.010609745979309082, -0.8123590350151062, -0.5528355836868286, -0.0047994256019592285]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6170169115066528, -0.032963354140520096, 0.03509894758462906, 0.07904230803251266, 0.5649856328964233, -0.14311262965202332, 0.028059184551239014, 0.10884983092546463, -0.07301770895719528, -0.00492723798379302]]","[-0.11024891585111618, 0.04370735585689545, 0.2868693768978119, 0.09362081438302994, 0.23907050490379333, -0.012347833253443241]","[1, 1]",64.08796574,-0.16683974862098694,1,9,1745573330.1989803,3
10,"[0.565229058265686, -0.1430472731590271, 0.028196271508932114]","[0.5345733165740967, 0.9375617504119873, 0.9767131805419922, 0.8741433620452881]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6433056592941284, 0.013734972104430199, 0.08331263810396194, 0.07999709993600845, 0.565229058265686, -0.1430472731590271, 0.028196271508932114, 0.10790453851222992, -0.0725516527891159, -0.0036500031128525734]]","[-0.025887440890073776, -0.6643890738487244, 0.1873723566532135, 0.22680114209651947, -0.03553169220685959, 0.10155816376209259]","[1, 1]",67.203683166,-0.16672338545322418,1,10,1745573333.3388524,4
11,"[0.5649194717407227, -0.1426868587732315, 0.02811204269528389]","[-0.6935086250305176, -0.9244856834411621, 0.6066082715988159, 0.4854933023452759]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6083685159683228, -0.03227279707789421, 0.1128472089767456, 0.07999841868877411, 0.5649194717407227, -0.1426868587732315, 0.02811204269528389, 0.0931098461151123, -0.07214496284723282, -0.009186257608234882]]","[-0.29009413719177246, -0.46835845708847046, 0.18393896520137787, 0.025979693979024887, 0.18684379756450653, 0.25527453422546387]","[1, 1]",70.312284124,-0.1664368361234665,1,11,1745573336.4545732,5
12,"[0.5654979944229126, -0.14208772778511047, 0.026488684117794037]","[-0.7203972339630127, -0.9821513891220093, -0.1995631456375122, 0.6133263111114502]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5721007585525513, -0.08103617280721664, 0.10220134258270264, 0.07999907433986664, 0.5654979944229126, -0.14208772778511047, 0.026488684117794037, 0.09033064544200897, -0.0678594559431076, -0.00948676373809576]]","[-0.16220751404762268, -0.28843969106674194, 0.08943013101816177, 0.0732283741235733, 0.08745831251144409, 0.08815717697143555]","[1, 1]",73.267975712,-0.16575630009174347,1,12,1745573339.563194,6
13,"[0.5655262470245361, -0.14197196066379547, 0.028361864387989044]","[-0.30192089080810547, -0.9697624444961548, -0.4991445541381836, 0.645510196685791]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5570344924926758, -0.12929919362068176, 0.07724839448928833, 0.0800003856420517, 0.5655262470245361, -0.14197196066379547, 0.028361864387989044, 0.08716855198144913, -0.05990450456738472, -0.011200792156159878]]","[0.04229147359728813, -0.21663519740104675, 0.201922208070755, 0.2119423896074295, 0.0380680076777935, 0.18916648626327515]","[1, 1]",76.164299833,-0.16560809314250946,1,13,1745573342.5185578,7
14,"[0.5648854374885559, -0.14332522451877594, 0.02776937372982502]","[0.4502173662185669, -0.4594501256942749, -0.9512364864349365, 0.26078128814697266]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5794077515602112, -0.15184274315834045, 0.029605599120259285, 0.07999972999095917, 0.5648854374885559, -0.14332522451877594, 0.02776937372982502, 0.09563543647527695, -0.06108745560050011, -0.01210781279951334]]","[0.03834616392850876, 0.16561143100261688, -0.13618218898773193, -0.0698978528380394, -0.08785140514373779, 0.14765585958957672]","[1, 1]",79.944911533,-0.16707225143909454,1,14,1745573345.415235,8
15,"[0.5664990544319153, -0.14309938251972198, 0.028934355825185776]","[0.38101184368133545, 0.9731202125549316, 0.706602931022644, -0.5691372752189636]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5977564454078674, -0.10317955911159515, 0.06389080733060837, 0.064000703394413, 0.5664990544319153, -0.14309938251972198, 0.028934355825185776, 0.09016826748847961, -0.06605446338653564, -0.018544374033808708]]","[0.0695793479681015, -0.0465468168258667, 0.25899240374565125, -0.05289878696203232, -0.40722131729125977, -0.19833014905452728]","[1, 1]",85.796659354,-0.16650782525539398,1,15,1745573349.1954465,9
16,"[0.5837839245796204, -0.10365074872970581, 0.06217912212014198]","[0.38101184368133545, 0.9731202125549316, 0.706602931022644, -0.5691372752189636]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5995281934738159, 0.01978171057999134, 0.05949079245328903, 0.07859905809164047, 0.5837839245796204, -0.10365074872970581, 0.06217912212014198, 0.09364766627550125, -0.056984078139066696, -0.019379334524273872]]","[0.08536382764577866, 0.06244973838329315, 0.27054205536842346, -0.12897558510303497, -0.4735257625579834, -0.15463770925998688]","[1, 1]",85.839463849,-0.12879426777362823,1,16,1745573355.0475802,10
0,"[0.4661857485771179, -0.0636446624994278, 0.029155690222978592]","[-0.3092484474182129, 0.013629674911499023, -0.15879619121551514, 0.5612953901290894]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6225027441978455, 0.0008588451892137527, 0.18913619220256805, 0.0008904400165192783, 0.4661857485771179, -0.0636446624994278, 0.029155690222978592, 0.08947817236185074, -0.061751388013362885, 0.00037192701711319387]]","[0.25760310888290405, -0.06702367216348648, 0.28820884227752686, 0.28431394696235657, 0.11888788640499115, 0.21161510050296783]","[1, 1]",20.526561334,-0.1578080952167511,0,0,1745573490.6723015,0
1,"[0.465907484292984, -0.06410397589206696, 0.029311830177903175]","[-0.966437816619873, -0.7184041738510132, -0.9663695693016052, 0.8581042289733887]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5739853382110596, -0.03482767194509506, 0.140172079205513, 0.07999709993600845, 0.465907484292984, -0.06410397589206696, 0.029311830177903175, 0.08683783560991287, -0.05505739897489548, -0.003207996254786849]]","[0.046563614159822464, 0.35484832525253296, 0.053322091698646545, 0.08419498056173325, 0.1191578134894371, 0.2267346829175949]","[1, 1]",23.702808682,-0.1582869440317154,0,1,1745573495.041711,1
2,"[0.4662008583545685, -0.06354774534702301, 0.029965214431285858]","[-0.9769275188446045, -0.5286017656326294, -0.9717450141906738, 0.9359829425811768]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5251373052597046, -0.061032507568597794, 0.0915289893746376, 0.07999841868877411, 0.4662008583545685, -0.06354774534702301, 0.029965214431285858, 0.08405374735593796, -0.05724915862083435, 0.0006881122244521976]]","[0.0965971127152443, 0.10172955691814423, -0.061695344746112823, 0.13624516129493713, -0.01737073063850403, 0.10449284315109253]","[1, 1]",26.819550728,-0.15774168074131012,0,2,1745573498.2179499,2
3,"[0.4661433696746826, -0.06363978981971741, 0.029403161257505417]","[-0.9403055310249329, -0.2110501527786255, -0.9572958946228027, 0.5917428731918335]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.47818461060523987, -0.07131059467792511, 0.04368986934423447, 0.07999907433986664, 0.4661433696746826, -0.06363978981971741, 0.029403161257505417, 0.0873042494058609, -0.06109294667840004, -0.0003892001695930958]]","[0.05115165561437607, 0.01481907069683075, -0.08547487109899521, 0.04557836800813675, 0.06980432569980621, 0.12052810192108154]","[1, 1]",30.570435967999998,-0.1578403264284134,0,3,1745573501.3343248,3
4,"[0.46616411209106445, -0.06369618326425552, 0.029569178819656372]","[0.9114203453063965, 0.725717306137085, 0.8181990385055542, -0.7410709857940674]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5231361985206604, -0.035062141716480255, 0.08370594680309296, 0.064000703394413, 0.46616411209106445, -0.06369618326425552, 0.029569178819656372, 0.08650729805231094, -0.06028621271252632, -4.546255240711616e-06]]","[0.10680785030126572, 0.10127060115337372, 0.3032413423061371, -0.04343842715024948, -0.2789451479911804, -0.5198286175727844]","[1, 1]",34.999735827,-0.15785208344459534,0,4,1745573505.085481,4
5,"[0.5805204510688782, 0.01969028264284134, 0.029521869495511055]","[0.9114203453063965, 0.725717306137085, 0.8181990385055542, -0.7410709857940674]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5995275974273682, 0.019766857847571373, 0.05956307426095009, 0.07697775214910507, 0.5804603695869446, 0.01969589665532112, 0.029546663165092468, 0.08730665594339371, -0.040160492062568665, -0.09090694785118103]]","[0.1423090398311615, -0.004721716046333313, 0.22215917706489563, -0.1033329889178276, -0.37845003604888916, -0.28448373079299927]","[1, 1]",48.067952832,-0.019487876445055008,0,5,1745573509.5149682,5
6,"[0.5386245846748352, -0.18734440207481384, 0.028112825006246567]","[-0.39182519912719727, 0.541917085647583, -0.7888673543930054, 0.7881932258605957]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6184311509132385, 0.027189670130610466, 0.1579321324825287, 0.07999709993600845, 0.5386245846748352, -0.18734440207481384, 0.028112825006246567, 0.10011228919029236, -0.06951189041137695, -0.032428205013275146]]","[0.2578980326652527, 0.0005767643451690674, -0.06294288486242294, 0.17143593728542328, -0.06702393293380737, -0.02956569194793701]","[1, 1]",51.075369219,-0.21624569594860077,1,6,1745573522.583107,0
7,"[0.538709819316864, -0.18475669622421265, 0.02963361330330372]","[-0.34706664085388184, -0.8100248575210571, 0.2103825807571411, 0.5642596483230591]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6009130477905273, -0.013106242753565311, 0.16771094501018524, 0.07999841868877411, 0.538709819316864, -0.18475669622421265, 0.02963361330330372, 0.09575790166854858, -0.07228295505046844, -0.03661125898361206]]","[-0.017622575163841248, -0.19057101011276245, 0.24397975206375122, 0.18909314274787903, 0.21557697653770447, 0.020446620881557465]","[1, 1]",54.39046024,-0.21373330056667328,1,7,1745573525.5905378,1
8,"[0.5357679128646851, -0.186940997838974, 0.028716111555695534]","[-0.5525507926940918, -0.9806430339813232, -0.30958127975463867, 0.6469488143920898]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5730310678482056, -0.061868589371442795, 0.15146863460540771, 0.07999907433986664, 0.5357679128646851, -0.186940997838974, 0.028716111555695534, 0.10150360316038132, -0.03535355255007744, -0.1139906570315361]]","[-0.07034173607826233, 0.10300134122371674, 0.17625737190246582, 0.14772707223892212, 0.1882200837135315, 0.13119634985923767]","[1, 1]",57.77881883,-0.21668407320976257,1,8,1745573528.9056878,2
9,"[0.5373697876930237, -0.18693864345550537, 0.028346780687570572]","[-0.3783525228500366, -0.9893355965614319, -0.3689519166946411, 0.8058962821960449]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5540953278541565, -0.11100522428750992, 0.13292787969112396, 0.07999972999095917, 0.5373697876930237, -0.18693864345550537, 0.028346780687570572, 0.10845682770013809, -0.050465177744627, -0.07802411168813705]]","[-0.14863941073417664, -0.1668785661458969, 0.19684278964996338, 0.1336982697248459, 0.15417909622192383, 0.03619439899921417]","[1, 1]",60.946159821,-0.21621489524841309,1,9,1745573532.2939959,3
10,"[0.5111326575279236, -0.10866214334964752, 0.02891436778008938]","[-0.41109609603881836, -0.9831575155258179, -0.7921764254570007, 0.7552434206008911]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5335748791694641, -0.15988367795944214, 0.09330505132675171, 0.0800003856420517, 0.5111326575279236, -0.10866214334964752, 0.02891436778008938, 0.08840322494506836, -0.06104321777820587, -0.044487252831459045]]","[0.022038502618670464, -0.056319788098335266, 0.02385789155960083, 0.06182929128408432, 0.062413573265075684, 0.022272631525993347]","[1, 1]",63.8633826,-0.1563730537891388,1,10,1745573535.461467,4
11,"[0.5101273655891418, -0.11043918132781982, 0.02845620922744274]","[-0.16751950979232788, 0.8042309284210205, -0.35213303565979004, 0.5835838317871094]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5251959562301636, -0.11969124525785446, 0.07569395005702972, 0.08000104129314423, 0.5101273655891418, -0.11043918132781982, 0.02845620922744274, 0.0912502259016037, -0.059796128422021866, -0.039456069469451904]]","[0.165541410446167, -0.17648401856422424, -0.013941876590251923, 0.13986092805862427, -0.17724257707595825, 0.059681057929992676]","[1, 1]",66.695141619,-0.15841040015220642,1,11,1745573538.378503,5
12,"[0.5104106664657593, -0.10969161242246628, 0.028435461223125458]","[-0.14143890142440796, 0.13238000869750977, -0.8766895532608032, 0.30411601066589355]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.518190860748291, -0.11326739937067032, 0.032008036971092224, 0.08000104129314423, 0.5104106664657593, -0.10969161242246628, 0.028435461223125458, 0.09415563941001892, -0.07128650695085526, -0.033236708492040634]]","[-0.014287199825048447, 0.019160717725753784, -0.170683354139328, -0.019729843363165855, -0.07240977883338928, 0.2262505143880844]","[1, 1]",70.359880044,-0.1576344221830368,1,12,1745573541.2102897,6
