test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
"[[-0.030573923140764236, -0.020474862307310104, -0.049429576843976974]]",34,"[0.7764958739280701, -0.11636312305927277, 0.02996869944036007]","[-0.7563153505325317, -0.7830297350883484, -0.989005982875824, -0.9828116297721863]",False,"[0.5921628475189209, -0.19364427030086517, 0.029999999329447746]","[[0.7679110765457153, -0.12641136348247528, 0.02211003378033638, 0.05757172033190727, 0.7764958739280701, -0.11636312305927277, 0.02996869944036007, -0.0012057328131049871, 0.00050981470849365, 0.03338821604847908]]","[-0.21136505901813507, -1.5094220638275146, 2.6748766899108887, 3.9462335109710693, 0.34120550751686096, 0.4730246663093567]","[[-0.03040148690342903, -0.02115858718752861, -0.0494438111782074]]","[0, 30]",2.240154209,-0.1998775750398636,0,34,1748251619.811886,34
"[[-0.016774533316493034, -0.012224685400724411, -0.04654964804649353]]",36,"[0.7595279216766357, -0.16840286552906036, 0.029974866658449173]","[-0.5066930651664734, -0.8158310651779175, -0.9304724931716919, -0.9773319363594055]",False,"[0.5921628475189209, -0.19364427030086517, 0.029999999329447746]","[[0.7506839632987976, -0.17767614126205444, 0.022115632891654968, 0.057715483009815216, 0.7595279216766357, -0.16840286552906036, 0.029974866658449173, -0.0011303082574158907, -0.0006468327483162284, 0.01650499552488327]]","[-0.2332906275987625, -1.7879633903503418, 2.922642707824707, 4.706829071044922, 0.678824782371521, 0.4094926118850708]","[[-0.016611872240900993, -0.01257215067744255, -0.046556636691093445]]","[0, 30]",2.247261531,-0.16925780475139618,0,36,1748251619.819093,36
"[[0.00067881029099226, 0.03808043897151947, -0.01927998475730419]]",42,"[0.7013257741928101, -0.3243308663368225, 0.029988735914230347]","[-0.13174229860305786, 0.4985013008117676, -0.3855167627334595, 0.6926376819610596]",False,"[0.5921628475189209, -0.19364427030086517, 0.029999999329447746]","[[0.6837782263755798, -0.3089345395565033, 0.022214071825146675, 0.08006717264652252, 0.7013257741928101, -0.3243308663368225, 0.029988735914230347, -1.8493723473511636e-05, -7.0870682975510135e-06, -0.28624090552330017]]","[-0.12083109468221664, -2.9203662872314453, 2.802016019821167, 7.789130210876465, 2.0195107460021973, 0.09888453781604767]","[[0.00023445766419172287, 0.03870655596256256, -0.018824264407157898]]","[0, 30]",2.291473956,-0.17028075456619263,0,42,1748251619.8350055,42
"[[-0.028019219636917114, 0.06462010741233826, -0.008413202129304409]]",68,"[0.5199642181396484, 0.05183528736233711, 0.03009364753961563]","[-0.838204026222229, 0.8943843841552734, -0.16645526885986328, -0.7491081953048706]",False,"[0.5117294788360596, 0.1625925749540329, 0.029999999329447746]","[[0.5282459855079651, 0.06758452206850052, 0.022759705781936646, 0.05142124369740486, 0.5199642181396484, 0.05183528736233711, 0.03009364753961563, -0.005013497080653906, 6.487213977379724e-05, -0.0952887311577797]]","[-0.23850013315677643, 0.22637715935707092, 0.8720192909240723, -0.050254546105861664, -0.967038631439209, 0.523166835308075]","[[-0.02710464596748352, 0.06292100995779037, -0.008313224650919437]]","[0, 30]",2.339729612,-0.11106302589178085,1,68,1748251619.8993251,18
"[[0.03376138210296631, -0.017490584403276443, 0.010339555330574512]]",128,"[0.4113684296607971, 0.2602526545524597, 0.029955420643091202]","[0.6282961368560791, -0.7353219985961914, 0.1959744691848755, -0.9573925733566284]",False,"[0.5163934230804443, 0.08870653808116913, 0.029999999329447746]","[[0.3987903296947479, 0.2454705685377121, 0.03282715007662773, 0.052789997309446335, 0.4113684296607971, 0.2602526545524597, 0.029955420643091202, 0.0005117914988659322, -0.0016514973249286413, 0.0825623869895935]]","[-0.1846819519996643, 0.35872453451156616, 0.01737138256430626, 0.033394183963537216, -0.22396323084831238, 0.226626455783844]","[[0.031515687704086304, -0.020134929567575455, 0.009537226520478725]]","[0, 30]",2.467068497,-0.20114253461360931,3,128,1748251620.0396147,13
"[[0.023699767887592316, -0.014599934220314026, 0.01850331947207451]]",131,"[0.453444242477417, 0.1764746904373169, 0.029963722452521324]","[0.9074540138244629, -0.9474378824234009, 0.37010765075683594, -0.9075819253921509]",False,"[0.5163934230804443, 0.08870653808116913, 0.029999999329447746]","[[0.44292590022087097, 0.16709160804748535, 0.03293029963970184, 0.05444732680916786, 0.453444242477417, 0.1764746904373169, 0.029963722452521324, -0.0013715482782572508, -0.0004980520461685956, -0.02694433182477951]]","[-0.12905512750148773, 0.3807413876056671, 0.23656237125396729, -0.09899339824914932, -1.1344660520553589, 0.5490131974220276]","[[0.02366585284471512, -0.014821022748947144, 0.0183107852935791]]","[0, 30]",2.511278408,-0.10800856351852417,3,131,1748251620.0480924,16
"[[-0.022586733102798462, -0.049644600600004196, -0.016328666359186172]]",187,"[0.5338014960289001, -0.10769052058458328, 0.029989996924996376]","[-0.45173466205596924, -0.9928919672966003, -0.32657337188720703, 0.9394626617431641]",False,"[0.6739449501037598, 0.21491017937660217, 0.029999999329447746]","[[0.5194728970527649, -0.03203041851520538, 0.11102726310491562, 0.0798562690615654, 0.5338014960289001, -0.10769052058458328, 0.029989996924996376, -1.0882119738653273e-07, 2.4999316394769266e-08, 9.522903434778032e-14]]","[0.056687600910663605, -0.027728959918022156, 0.006541680544614792, -0.020896390080451965, -0.017277218401432037, -0.005010694265365601]","[[-0.008127540349960327, -0.002861127257347107, -0.003451688215136528]]","[0, 30]",2.608031774,-0.35172632336616516,5,187,1748251620.166115,3
"[[-0.010914960876107216, -0.048878420144319534, -0.042171478271484375]]",188,"[0.5338014960289001, -0.10769052058458328, 0.029989998787641525]","[-0.21829921007156372, -0.9775683879852295, -0.843429446220398, 0.932814359664917]",False,"[0.6739449501037598, 0.21491017937660217, 0.029999999329447746]","[[0.5138853192329407, -0.07139477878808975, 0.08359575271606445, 0.07998251914978027, 0.5338014960289001, -0.10769052058458328, 0.029989998787641525, -1.935453219914507e-08, 5.024552856300411e-15, 9.556677687703671e-14]]","[0.1253059059381485, 0.004401907324790955, 0.026178669184446335, -0.018112435936927795, -0.01625121384859085, -0.0320952832698822]","[[-0.005327383056282997, -0.009514059871435165, -0.01473996415734291]]","[0, 30]",2.608072521,-0.35172632336616516,5,188,1748251620.167882,4
"[[-0.01827412284910679, 0.003144981572404504, -0.027867821976542473]]",216,"[0.5891373157501221, -0.05952690541744232, 0.029989993199706078]","[-0.37278997898101807, -0.06746906042098999, -0.5573562383651733, 0.33732473850250244]",False,"[0.42090925574302673, -0.1512201577425003, 0.029999999329447746]","[[0.5973641276359558, -0.05727292224764824, 0.022286636754870415, 0.0796675756573677, 0.5891373157501221, -0.05952690541744232, 0.029989993199706078, 2.6738810277038283e-08, -1.1955987133660528e-07, 0.24616727232933044]]","[0.03812664374709129, 0.24437494575977325, 0.07367457449436188, 0.026132330298423767, 0.11666305363178253, 0.039508938789367676]","[[-0.013873035088181496, 0.003143871435895562, -0.02803255058825016]]","[0, 30]",2.663943703,-0.1915941834449768,6,216,1748251620.2316682,9
"[[-0.001991582103073597, 0.006240248680114746, -0.013596928678452969]]",220,"[0.582008421421051, -0.1167643740773201, 0.029989829286932945]","[-0.12160682678222656, -0.2550598978996277, -0.27193760871887207, -0.09387779235839844]",False,"[0.42090925574302673, -0.1512201577425003, 0.029999999329447746]","[[0.590284526348114, -0.11522918194532394, 0.022133158519864082, 0.05793499946594238, 0.582008421421051, -0.1167643740773201, 0.029989829286932945, -0.00224254559725523, 0.0022485724184662104, 0.08472242951393127]]","[-0.26420414447784424, 0.34013837575912476, 0.2525438070297241, -0.07363405078649521, -0.11058204621076584, 0.20239004492759705]","[[-0.003976655192673206, 0.0034982115030288696, -0.013412886299192905]]","[0, 30]",2.707423711,-0.16474264860153198,6,220,1748251620.2412667,13
