test/cube_pos_constraint,_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/robot_constraint,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps,pca
"[[-0.04067940637469292, 0.01775546744465828, -0.04954807087779045]]",13,"[0.6597080230712891, -0.22000515460968018, 0.029966000467538834]","[-0.9718444347381592, 0.6821880340576172, -0.9914400577545166, -0.7153841853141785]",False,"[0.5418084859848022, -0.06547710299491882, 0.029999999329447746]","[[0.6673095226287842, -0.20654748380184174, 0.022670241072773933, 0.053520943969488144, 0.6597080230712891, -0.22000515460968018, 0.029966000467538834, 3.36264270117681e-06, -0.0007965725380927324, -0.02235463820397854]]","[-0.2644540071487427, 0.3402779698371887, 0.253940224647522, -0.0741400346159935, -0.11047618836164474, 0.2025204747915268]","[[-0.037534426897764206, 0.014198396354913712, -0.04955581948161125]]","[0, 30]",1.857373252,-0.19436876475811005,0.0,13.0,1748233134.0291173,13.0,
"[[-0.029952865093946457, 0.008633624762296677, -0.04810966178774834]]",17,"[0.5933871269226074, -0.10338523238897324, 0.029883237555623055]","[-0.9759219884872437, 0.8720979690551758, -0.9638184905052185, -0.915082573890686]",False,"[0.5418084859848022, -0.06547710299491882, 0.029999999329447746]","[[0.6020146608352661, -0.09436512738466263, 0.022316239774227142, 0.05570491403341293, 0.5933871269226074, -0.10338523238897324, 0.029883237555623055, -0.0022909524850547314, -0.0012613264843821526, -0.0017323980573564768]]","[-0.28589484095573425, 0.27719876170158386, 0.765434980392456, -0.17704415321350098, -0.8932087421417236, 0.48502081632614136]","[[-0.030069153755903244, 0.010535847395658493, -0.04813531041145325]]","[0, 30]",1.857859492,-0.06401088833808899,0.0,17.0,1748233134.0405006,17.0,
"[[0.136928528547287, 0.38674435019493103, 0.03540593385696411]]",34,"[0.49476727843284607, -0.14060819149017334, 0.029999999329447746]","[0.985802412033081, 0.899350643157959, 0.7099120616912842, -0.9401295781135559]",True,"[0.5641164183616638, 0.018870487809181213, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.49476727843284607, -0.14060819149017334, 0.029999999329447746, 0, 0, 0]]","[-0.19766715168952942, 0.34380820393562317, 0.19944804906845093, -0.058448754251003265, -0.869072437286377, 0.45441991090774536]","[[-0.00972813367843628, 0.2328997701406479, -0.1322149932384491]]","[0, 30]",1.9015143650000002,-0.03557934984564781,1.0,34.0,1748233134.0780354,15.0,
"[[-0.04926934465765953, -0.02774122916162014, -0.04552287608385086]]",36,"[0.4119977056980133, -0.004527573939412832, 0.029989320784807205]","[-0.985386848449707, -0.5548245906829834, -0.9103990793228149, 0.8966113328933716]",False,"[0.43751463294029236, 0.23184914886951447, 0.029999999329447746]","[[0.5793760418891907, 0.008580447174608707, 0.1769191473722458, 0.07050935924053192, 0.4119977056980133, -0.004527573939412832, 0.029989320784807205, 1.564595919489875e-07, -2.2741502107237466e-05, -3.327845984890665e-11]]","[0.03145550936460495, -0.02578778564929962, -0.019158922135829926, -0.028216280043125153, 0.053576432168483734, 0.13179966807365417]","[[-0.02998312935233116, -0.017847824841737747, -0.029845528304576874]]","[0, 30]",1.901587921,-0.23775002360343933,2.0,36.0,1748233134.0815008,1.0,
"[[0.002157056238502264, 0.03592805936932564, 0.016330081969499588]]",42,"[0.4110591411590576, 0.002442483324557543, 0.029989928007125854]","[0.024689912796020508, 0.8522605895996094, 0.32660675048828125, -0.33945703506469727]",False,"[0.43751463294029236, 0.23184914886951447, 0.029999999329447746]","[[0.4008396565914154, 0.013643667101860046, 0.025659233331680298, 0.06334759294986725, 0.4110591411590576, 0.002442483324557543, 0.029989928007125854, 2.190846544181113e-06, -1.946511787309646e-07, -0.11092967540025711]]","[0.1439117044210434, 0.16039198637008667, 0.06503239274024963, 0.000634707510471344, 0.06637051701545715, -0.0026129037141799927]","[[0.010442817583680153, 0.03472467511892319, 0.021305961534380913]]","[0, 30]",1.944987121,-0.23092707991600037,2.0,42.0,1748233134.0934033,7.0,
"[[-0.007875531911849976, -0.046543847769498825, 0.01592656411230564]]",53,"[0.6083448529243469, -0.2501159608364105, 0.029989875853061676]","[-0.1575106382369995, -0.9308769702911377, 0.3185312747955322, 0.9484117031097412]",False,"[0.4030064344406128, -0.12330498546361923, 0.029999999329447746]","[[0.6302424073219299, -0.0627286285161972, 0.1902855932712555, 0.07999785244464874, 0.6083448529243469, -0.2501159608364105, 0.029989875853061676, -3.400271850750869e-07, 4.493510004976997e-06, 1.9095584488648676e-11]]","[0.12530246376991272, 0.004401400685310364, 0.02618372067809105, -0.018118388950824738, -0.01624927669763565, -0.03209677338600159]","[[-0.0032099783420562744, -0.006727680563926697, 0.001932898536324501]]","[0, 30]",1.945458634,-0.241339772939682,3.0,53.0,1748233134.1156557,4.0,
"[[-0.08704692125320435, -0.36938029527664185, -0.046537235379219055]]",67,"[0.4985213875770569, 0.2484847456216812, 0.029999999329447746]","[-0.9516268968582153, 0.9398665428161621, -0.9301769137382507, 0.9441540241241455]",True,"[0.4363422989845276, 0.15190869569778442, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.4985213875770569, 0.2484847456216812, 0.029999999329447746, 0, 0, 0]]","[-0.2376173883676529, 0.22144055366516113, 0.8847145438194275, -0.05664392560720444, -0.9411278963088989, 0.5138979554176331]","[[-0.20056885480880737, -0.10718442499637604, -0.22117696702480316]]","[0, 30]",1.98907181,-0.03242730721831322,3.0,67.0,1748233134.1459284,18.0,
"[[-0.04553261399269104, 0.02986549772322178, 0.027721457183361053]]",68,"[0.5622773766517639, 0.25322970747947693, 0.029989857226610184]","[-0.9106522798538208, 0.597309947013855, 0.554226279258728, 0.9738699197769165]",False,"[0.48864248394966125, 0.28631576895713806, 0.029999999329447746]","[[0.6006929874420166, 0.020267395302653313, 0.19345234334468842, 0.07027406245470047, 0.5622773766517639, 0.25322970747947693, 0.029989857226610184, 4.909812560072169e-06, 4.2067799199685396e-07, 3.188017991956338e-12]]","[0.031228376552462578, -0.03600657731294632, -0.04087379202246666, -0.03563203662633896, 0.07730496674776077, 0.20066677033901215]","[[-0.0077859461307525635, 0.009598102420568466, 0.03165911138057709]]","[0, 30]",1.9891098409999999,-0.08072660118341446,4.0,68.0,1748233134.1477532,0.0,
"[[0.001705557107925415, -0.02360086515545845, 0.028461458161473274]]",89,"[0.6114817261695862, 0.18286800384521484, 0.029985502362251282]","[0.0341111421585083, -0.4720172882080078, 0.568939208984375, -0.47523510456085205]",False,"[0.6608026623725891, 0.29922348260879517, 0.029999999329447746]","[[0.6363002061843872, -0.01714511588215828, 0.20877040922641754, -3.5917196328227874e-08, 0.6114817261695862, 0.18286800384521484, 0.029985502362251282, -7.5068004662171e-05, -7.508859562221915e-05, 2.8197320034450968e-09]]","[0.0312192365527153, -0.03576146066188812, -0.040821392089128494, -0.03539036959409714, 0.07738981395959854, 0.2005002796649933]","[[0.003845006227493286, -0.006455749273300171, 0.01707668974995613]]","[0, 30]",2.004681777,-0.12637701630592346,5.0,89.0,1748233134.192715,0.0,
"[[0.0824795663356781, -0.017614105716347694, 0.03835379332304001]]",112,"[0.40024253726005554, 0.2065805196762085, 0.029999999329447746]","[0.42842745780944824, 0.3798414468765259, 0.7674096822738647, -0.8638012409210205]",True,"[0.40072739124298096, -0.043046992272138596, 0.029999999329447746]","[[0.6384396553039551, -2.194472251484947e-12, 0.19740013778209686, 0, 0.40024253726005554, 0.2065805196762085, 0.029999999329447746, 0, 0, 0]]","[-0.03866899758577347, 0.27862995862960815, 0.08285321295261383, 0.03562260419130325, 0.12360571324825287, 0.06469950824975967]","[[-0.15116405487060547, 0.19404782354831696, -0.1370827853679657]]","[0, 30]",2.077215069,-0.028093811124563217,6.0,112.0,1748233134.2415245,10.0,
